stock_code,open,prev_close,open_change_pct,volume,amount,auction_power,bidVol1,askVol1
003026.SZ,33.16,33.16,0.0,43592,143388400,4.518651357841237,0,0
688191.SH,53.0,52.52,0.913937547600908,107535,553865100,4.5112316918209014,0,0
301031.SZ,141.3,141.27,0.02123593119558373,30163,438549800,4.510001932361112,0,0
605289.SH,133.0,130.0,2.307692307692308,48907,642285700,4.457566206967748,0,0
603289.SH,10.8,10.78,0.18552875695734092,124988,141111900,4.453443992862782,0,0
301502.SZ,44.66,44.66,0.0,10203,46864700,4.448918146995552,0,0
002663.SZ,2.3,2.27,1.3215859030836918,570254,131920500,4.4363128437040755,0,0
688676.SH,103.22,101.18,2.0162087369045185,203938,2103958300,4.4332178700721565,0,0
688573.SH,21.0,20.99,0.047641734159130845,23018,49440900,4.4240803841846565,0,0
300109.SZ,18.89,18.85,0.2122015915119318,197413,375796400,4.42065778800504,0,0
688681.SH,19.92,19.84,0.40322580645162226,44726,92118400,4.418092739737012,0,0
300246.SZ,12.6,12.47,1.0425020048115397,91457,117335100,4.406954110826292,0,0
688251.SH,31.17,31.17,0.0,43090,137081500,4.402123832296359,0,0
301212.SZ,28.7,28.7,0.0,38941,118289900,4.396372590011614,0,0
300611.SZ,25.65,25.6,0.1953124999999889,62329,165981700,4.3633792405891825,0,0
600158.SH,10.1,10.1,0.0,406811,422707400,4.361818432826219,0,0
301607.SZ,47.87,47.41,0.9702594389369349,50371,233312200,4.357684128658988,0,0
002125.SZ,15.18,14.96,1.47058823529411,280045,416334200,4.356960863226382,0,0
002067.SZ,5.39,5.39,0.0,566749,311779500,4.324453981651126,0,0
301377.SZ,190.38,190.36,0.010506408909425198,30470,582914900,4.311006784997724,0,0
000610.SZ,9.22,9.18,0.4357298474945635,99044,93243100,4.294246324968754,0,0
301156.SZ,19.3,19.26,0.2076843198338481,36688,73822500,4.286914765946726,0,0
301030.SZ,11.84,11.84,0.0,84516,102521200,4.2843347350924095,0,0
300030.SZ,8.16,8.16,0.0,112797,94682500,4.262357533020667,0,0
000816.SZ,3.88,3.88,0.0,607712,237212500,4.256192239010176,0,0
301336.SZ,54.08,54.02,0.11106997408366376,12515,69663200,4.2331196687760375,0,0
002999.SZ,7.5,7.5,0.0,141873,108721100,4.217491799465085,0,0
301049.SZ,24.25,24.24,0.04125412541254771,17535,43670600,4.205002541859985,0,0
