排名,股票代码,最新价,昨收价,涨跌幅(%),竞价量,竞价额,买盘,卖盘,时间
3205,300491.SZ,27.51,27.51,0.00,178,489700.00,79,554,09:26:17
3206,300827.SZ,35.98,35.99,-0.03,177,636800.00,91,126,09:26:17
3207,600848.SH,11.46,11.43,0.26,177,202800.00,351,1041,09:26:16
3208,300434.SZ,10.96,10.96,0.00,177,194000.00,39,70,09:26:17
3209,600329.SH,46.79,46.65,0.30,177,828200.00,463,53,09:26:16
3210,600720.SH,7.36,7.36,0.00,176,129500.00,2286,3820,09:26:16
3211,002362.SZ,22.3,22.21,0.41,176,392500.00,61,152,09:26:17
3212,600629.SH,19.4,19.46,-0.31,176,341400.00,168,362,09:26:16
3213,600228.SH,6.18,6.25,-1.12,176,108800.00,769,585,09:26:17
3214,600692.SH,8.05,8.06,-0.12,176,141700.00,394,151,09:26:16
3215,300358.SZ,11,10.98,0.18,175,192500.00,576,60,09:26:17
3216,688700.SH,40.8,41.05,-0.61,175,714100.00,127,259,09:26:16
3217,300283.SZ,8.290000000000001,8.3,-0.12,175,145100.00,1482,554,09:26:17
3218,688293.SH,55.06,54.04,1.89,175,962100.00,70,86,09:26:17
3219,002551.SZ,3.92,3.91,0.26,174,68200.00,4158,2762,09:26:17
3220,301180.SZ,18.23,18.31,-0.44,174,317200.00,46,76,09:26:17
3221,688501.SH,29.01,29.1,-0.31,173,502400.00,258,55,09:26:17
3222,600857.SH,13.62,13.62,0.00,173,235600.00,72,107,09:26:16
3223,601199.SH,5.9,5.9,0.00,173,102100.00,2932,2304,09:26:16
3224,301389.SZ,50.24,50.13,0.22,173,869200.00,19,67,09:26:17
3225,000902.SZ,16.6,16.66,-0.36,173,287200.00,142,255,09:26:17
3226,002394.SZ,13.92,14.03,-0.78,173,240800.00,434,122,09:26:17
3227,688187.SH,56.48,56.3,0.32,173,975600.00,138,62,09:26:17
3228,300035.SZ,20.8,20.81,-0.05,173,359800.00,194,107,09:26:17
3229,002690.SZ,19.69,19.64,0.25,173,340600.00,378,57,09:26:17
3230,600562.SH,29.01,29.05,-0.14,173,501900.00,137,105,09:26:16
3231,600241.SH,8.77,8.74,0.34,172,150800.00,969,446,09:26:16
3232,603393.SH,28.88,28.8,0.28,172,496700.00,208,93,09:26:17
3233,000151.SZ,13.72,13.73,-0.07,171,234600.00,397,403,09:26:17
3234,600056.SH,10.77,10.77,0.00,171,184200.00,676,890,09:26:16
3235,300329.SZ,15.04,14.94,0.67,171,257200.00,471,126,09:26:17
3236,603389.SH,42.63,42.46,0.40,171,729000.00,66,29,09:26:16
3237,300771.SZ,15.2,15.2,0.00,171,259900.00,139,208,09:26:17
