stock,fri_atr_ratio,fri_vol_ratio,fri_amt_ratio,fri_change,mon_atr_ratio,mon_vol_ratio,mon_amt_ratio,mon_change,has_fri_signal,is_mon_breakout,prepos_signal
301291.SZ,0.768,1.175,1.324,-2.83,1.309,1.533,1.777,0.47,False,False,False
000731.SZ,4.593,5.929,6.52,10.04,1.915,15.046,18.594,9.0,True,False,False
300411.SZ,0.651,0.768,0.773,-0.17,1.345,1.477,1.487,0.0,False,False,False
002652.SZ,1.137,1.105,1.222,1.07,2.056,1.154,1.26,-1.69,False,False,False
002249.SZ,0.727,0.597,0.583,0.65,1.556,1.147,1.088,-4.04,False,False,False
300465.SZ,0.73,0.894,0.883,1.43,1.789,1.943,1.847,-5.87,False,False,False
301393.SZ,0.378,0.36,0.333,0.21,1.568,1.152,1.025,-4.36,False,False,False
000633.SZ,0.905,0.968,0.993,2.14,2.109,1.474,1.474,-2.47,False,False,False
300513.SZ,0.983,0.918,0.92,0.51,1.969,1.246,1.222,-3.86,False,False,False
002724.SZ,3.42,2.558,2.764,3.22,1.418,2.054,2.19,-1.62,True,False,False
300567.SZ,0.527,0.579,0.634,-1.46,0.795,0.716,0.797,0.5,False,False,False
300194.SZ,0.435,0.584,0.573,0.45,1.49,0.978,0.94,-2.69,False,False,False
000058.SZ,0.358,0.561,0.544,0.11,1.543,1.282,1.203,-4.62,False,False,False
300378.SZ,1.196,1.057,0.965,2.59,0.909,0.982,0.861,-4.94,False,False,False
300763.SZ,1.659,1.537,1.549,5.99,1.717,1.828,1.94,4.89,True,False,False
002554.SZ,0.379,0.643,0.659,1.44,1.226,2.096,2.305,9.91,False,False,False
301197.SZ,1.387,1.828,2.018,1.31,1.9,2.487,2.861,1.66,True,False,False
002891.SZ,0.573,0.445,0.425,0.4,1.377,1.316,1.222,-2.69,False,False,False
300717.SZ,0.635,0.828,0.863,-0.22,1.534,1.619,1.674,-1.87,False,False,False
002520.SZ,0.587,1.157,1.195,-1.61,1.039,1.044,1.05,-3.12,False,False,False
300390.SZ,0.637,0.776,0.793,0.94,0.977,0.88,0.88,-4.35,False,False,False
301510.SZ,0.422,0.579,0.573,-1.64,0.997,1.105,1.047,-5.63,False,False,False
002879.SZ,0.593,0.703,0.738,0.86,1.087,0.894,0.934,-2.65,False,False,False
000818.SZ,1.553,1.309,1.37,3.92,0.692,0.885,0.906,-3.1,True,False,False
300689.SZ,0.43,0.508,0.469,-2.53,0.443,0.559,0.502,-3.47,False,False,False
300292.SZ,0.681,0.953,0.981,0.2,1.202,1.162,1.168,-3.61,False,False,False
301009.SZ,0.433,0.79,0.779,-0.08,2.225,1.607,1.514,-5.66,False,False,False
002456.SZ,0.739,0.775,0.752,0.51,1.877,1.631,1.532,-4.07,False,False,False
000541.SZ,0.655,0.851,0.855,0.47,1.236,1.077,1.071,-1.56,False,False,False
300661.SZ,0.513,0.723,0.671,-2.02,0.961,0.712,0.652,-2.01,False,False,False
002039.SZ,2.234,2.082,2.125,2.91,2.3,2.391,2.499,1.83,True,False,False
002422.SZ,0.534,0.798,0.77,0.2,0.995,1.316,1.25,-1.11,False,False,False
002993.SZ,1.166,1.14,1.115,-3.27,0.746,1.094,1.032,-3.74,False,False,False
301095.SZ,0.778,0.806,0.85,-1.66,1.075,1.182,1.277,0.48,False,False,False
300615.SZ,0.591,0.631,0.642,-0.61,2.119,1.285,1.266,-4.16,False,False,False
300798.SZ,0.739,0.934,0.966,1.95,0.767,0.803,0.792,-5.34,False,False,False
001238.SZ,0.662,0.496,0.491,-0.73,0.789,0.754,0.733,-2.07,False,False,False
300383.SZ,1.498,1.255,1.327,5.44,0.733,0.769,0.785,-5.67,True,False,False
301118.SZ,1.009,1.392,1.448,2.43,1.554,1.641,1.719,0.49,False,False,False
301503.SZ,0.771,0.895,0.897,-1.5,2.104,1.641,1.588,-4.3,False,False,False
000909.SZ,0.769,0.971,1.025,1.38,1.099,2.316,2.517,2.21,False,False,False
301577.SZ,0.689,0.987,0.986,-0.72,2.525,3.887,3.991,1.36,False,False,False
300770.SZ,0.456,0.493,0.482,0.44,0.952,1.221,1.16,-4.05,False,False,False
002547.SZ,0.474,0.687,0.651,1.6,1.277,0.853,0.782,-4.46,False,False,False
002882.SZ,0.298,0.646,0.635,-0.16,1.193,1.033,0.99,-3.35,False,False,False
000995.SZ,0.296,0.393,0.36,1.08,0.617,0.478,0.423,-4.21,False,False,False
002128.SZ,1.47,1.183,1.23,5.61,1.862,1.983,2.175,6.12,True,False,False
002533.SZ,0.528,1.023,1.097,-0.78,1.124,1.193,1.285,0.13,False,False,False
000552.SZ,1.508,1.354,1.425,3.56,1.621,1.788,1.925,0.76,True,False,False
300269.SZ,0.257,0.562,0.537,-2.13,0.822,0.698,0.635,-6.17,False,False,False
300672.SZ,1.467,0.941,1.063,4.53,1.164,0.802,0.901,-2.05,True,False,False
000897.SZ,0.754,0.692,0.692,0.88,0.926,0.873,0.865,-2.18,False,False,False
002431.SZ,0.845,0.649,0.65,1.49,1.257,1.07,1.039,-4.03,False,False,False
002980.SZ,3.423,2.419,2.916,9.98,0.0,0.641,0.864,10.01,True,False,False
301086.SZ,0.716,0.553,0.543,0.21,1.026,0.929,0.932,-0.3,False,False,False
000526.SZ,1.065,1.03,0.992,1.09,1.495,1.457,1.366,-3.82,False,False,False
300606.SZ,0.797,0.566,0.594,-2.29,0.438,0.484,0.499,-2.88,False,False,False
300281.SZ,0.489,0.533,0.52,0.64,1.692,0.771,0.733,-4.55,False,False,False
002968.SZ,0.999,0.787,0.779,3.0,1.477,1.119,1.091,-4.03,False,False,False
002635.SZ,0.697,0.846,0.869,-1.46,0.817,0.953,0.965,-2.01,False,False,False
301282.SZ,0.882,1.929,2.056,-3.79,1.042,1.574,1.634,-2.89,False,False,False
000722.SZ,1.396,1.545,1.607,2.65,1.1,1.1,1.14,-1.03,True,False,False
300402.SZ,2.952,2.156,2.319,5.23,0.937,1.302,1.344,-3.19,True,False,False
300019.SZ,0.564,0.976,1.002,0.83,0.823,0.925,0.93,-2.29,False,False,False
002641.SZ,0.644,0.545,0.543,0.22,1.085,1.031,1.019,-1.11,False,False,False
000756.SZ,0.299,0.418,0.408,0.19,1.148,0.796,0.763,-2.33,False,False,False
300476.SZ,0.674,1.613,1.79,-3.55,0.783,1.289,1.429,-0.25,False,False,False
003029.SZ,1.324,1.166,1.167,2.16,0.941,1.165,1.125,-4.15,True,False,False
300085.SZ,0.85,0.828,0.821,1.37,1.329,1.147,1.105,-2.2,False,False,False
301368.SZ,0.363,0.487,0.464,0.25,1.313,0.911,0.829,-6.46,False,False,False
300859.SZ,0.523,0.686,0.669,1.46,1.298,0.675,0.653,-1.42,False,False,False
300187.SZ,1.968,7.44,8.071,-2.46,1.218,4.691,4.939,-3.03,True,False,False
301380.SZ,0.703,0.659,0.654,1.73,1.493,1.131,1.075,-6.26,False,False,False
000620.SZ,0.405,0.383,0.344,0.32,0.567,0.61,0.529,-4.81,False,False,False
300500.SZ,0.548,0.608,0.62,0.69,2.721,1.548,1.518,-5.73,False,False,False
002737.SZ,0.586,0.542,0.531,0.14,2.335,1.34,1.296,-2.07,False,False,False
002743.SZ,0.654,0.678,0.692,0.17,1.82,0.998,0.997,-3.05,False,False,False
002358.SZ,0.632,0.772,0.889,-1.97,0.786,0.797,0.898,-3.57,False,False,False
300980.SZ,0.645,0.476,0.453,1.0,1.123,0.686,0.641,-3.45,False,False,False
002606.SZ,0.816,0.8,0.898,-0.75,0.58,0.739,0.814,-2.81,False,False,False
002269.SZ,1.437,1.356,1.379,2.09,1.065,1.451,1.448,-3.59,True,False,False
002672.SZ,0.971,1.745,1.782,0.82,1.415,1.873,1.936,0.61,False,False,False
300445.SZ,0.31,0.645,0.588,-0.26,0.816,0.759,0.678,-2.51,False,False,False
300968.SZ,0.541,0.96,0.944,-0.28,2.101,1.418,1.347,-4.68,False,False,False
301259.SZ,1.943,1.983,2.131,4.1,1.056,1.506,1.568,-4.85,True,False,False
002281.SZ,1.306,1.484,1.554,0.78,1.407,1.646,1.786,1.45,True,False,False
301636.SZ,0.68,1.008,1.138,5.57,0.504,0.707,0.748,-9.38,False,False,False
002798.SZ,0.693,0.704,0.677,0.31,1.022,1.03,0.976,-3.2,False,False,False
002383.SZ,0.516,0.762,0.755,0.71,3.718,3.82,3.934,6.59,False,True,False
300128.SZ,0.699,0.832,0.837,-2.1,0.836,1.019,1.001,-2.55,False,False,False
300533.SZ,0.552,0.911,0.876,1.57,1.019,1.041,0.957,-5.09,False,False,False
300882.SZ,0.493,0.821,0.834,-0.17,1.193,0.909,0.923,-1.02,False,False,False
300547.SZ,0.514,1.287,1.326,-1.45,1.491,2.288,2.412,1.63,False,False,False
000090.SZ,0.711,0.726,0.734,1.01,0.724,0.845,0.843,-1.75,False,False,False
