code,name,date,label,success,sustain_score,env_score,is_true_breakout,confidence,pnl_pct,max_drawdown,data_source,sustain_duration
002156,通富微电,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002163,海南发展,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002163,海南发展,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002163,海南发展,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002506,协鑫集成,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002506,协鑫集成,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002506,协鑫集成,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300364,中文在线,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300364,中文在线,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300364,中文在线,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000066,中国长城,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000066,中国长城,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000066,中国长城,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601698,中国卫通,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601698,中国卫通,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601698,中国卫通,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002044,美年健康,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002044,美年健康,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002044,美年健康,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600734,实达集团,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600734,实达集团,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600734,实达集团,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002151,北斗星通,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002151,北斗星通,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002151,北斗星通,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600266,城建发展,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600266,城建发展,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600266,城建发展,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300346,南大光电,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300346,南大光电,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300346,南大光电,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002400,省广集团,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002400,省广集团,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002400,省广集团,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002931,锋龙股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002931,锋龙股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002931,锋龙股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300409,道氏技术,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300409,道氏技术,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300409,道氏技术,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603278,大业股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603278,大业股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603278,大业股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002119,康强电子,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002119,康强电子,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002119,康强电子,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002173,创新医疗,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002173,创新医疗,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002173,创新医疗,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300118,东方日升,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300118,东方日升,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300118,东方日升,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601399,国机重装,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601399,国机重装,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601399,国机重装,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000551,创元科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000551,创元科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
000551,创元科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600637,东方明珠,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600637,东方明珠,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
600637,东方明珠,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603696,安记食品,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603696,安记食品,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603696,安记食品,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300065,海兰信,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
