code,name,price,change_pct,sector,limit_up_days,first_time,last_time,open_count,date,source,m,amount,ltsz,tshare,hs,lbc,fbt,lbt,fund,zbc,limit_up_count
2623,亚玛顿,28.46,10.0115966796875,光伏设备,1,101054.0,101054.0,0.0,20260204,akshare_em,,,,,,,,,,,
600814,杭州解百,8.91,10.0,一般零售,1,101323.0,101323.0,0.0,20260204,akshare_em,,,,,,,,,,,
2853,皮阿诺,31.08,10.017699241638184,家居用品,1,101424.0,111154.0,1.0,20260204,akshare_em,,,,,,,,,,,
838,财信发展,2.66,9.91735553741455,房地产开,1,101715.0,101715.0,0.0,20260204,akshare_em,,,,,,,,,,,
603381,永臻股份,25.52,10.0,光伏设备,1,101927.0,135457.0,4.0,20260204,akshare_em,,,,,,,,,,,
600115,中国东航,6.28,9.982486724853516,航空机场,1,101930.0,102106.0,1.0,20260204,akshare_em,,,,,,,,,,,
517,荣安地产,2.04,10.270270347595217,房地产开,1,102224.0,102224.0,0.0,20260204,akshare_em,,,,,,,,,,,
600778,友好集团,7.96,9.944750785827637,一般零售,1,102722.0,102722.0,0.0,20260204,akshare_em,,,,,,,,,,,
603778,国晟科技,16.18,9.993202209472656,基础建设,2,102804.0,102804.0,0.0,20260204,akshare_em,,,,,,,,,,,
300393,中来股份,10.32,20.0,光伏设备,1,103021.0,103021.0,0.0,20260204,akshare_em,,,,,,,,,,,
2810,山东赫达,19.77,10.016695022583008,化学制品,1,103030.0,103030.0,0.0,20260204,akshare_em,,,,,,,,,,,
2218,拓日新能,7.04,10.0,电力,1,103115.0,103115.0,0.0,20260204,akshare_em,,,,,,,,,,,
600683,京投发展,6.0,10.091742515563965,房地产开,2,103712.0,132027.0,2.0,20260204,akshare_em,,,,,,,,,,,
560,我爱我家,3.61,10.060976028442385,房地产服,1,103727.0,134230.0,1.0,20260204,akshare_em,,,,,,,,,,,
2334,英威腾,10.07,10.054644584655762,自动化设,1,104451.0,104451.0,0.0,20260204,akshare_em,,,,,,,,,,,
301636,泽润新能,89.47,19.997318267822266,光伏设备,2,110054.0,110054.0,0.0,20260204,akshare_em,,,,,,,,,,,
2928,华夏航空,11.53,10.019083976745604,航空机场,1,110954.0,110954.0,0.0,20260204,akshare_em,,,,,,,,,,,
1223,欧克科技,60.83,10.0,自动化设,1,112521.0,112521.0,0.0,20260204,akshare_em,,,,,,,,,,,
601011,宝泰隆,3.64,9.969788551330566,焦炭Ⅱ,1,130039.0,130039.0,0.0,20260204,akshare_em,,,,,,,,,,,
2286,保龄宝,10.53,10.031347274780272,农产品加,1,130542.0,130542.0,0.0,20260204,akshare_em,,,,,,,,,,,
688223,晶科能源,8.4,20.0,光伏设备,1,130735.0,130735.0,0.0,20260204,akshare_em,,,,,,,,,,,
600325,华发股份,4.42,9.95024871826172,房地产开,1,132016.0,132016.0,0.0,20260204,akshare_em,,,,,,,,,,,
301119,正强股份,57.7,20.008319854736328,汽车零部,1,132048.0,132048.0,0.0,20260204,akshare_em,,,,,,,,,,,
2355,兴民智通,6.8,10.032362937927246,汽车零部,1,132403.0,132403.0,0.0,20260204,akshare_em,,,,,,,,,,,
2506,协鑫集成,3.78,9.883721351623535,光伏设备,1,132851.0,144421.0,4.0,20260204,akshare_em,,,,,,,,,,,
603826,坤彩科技,17.69,10.01243782043457,非金属材,1,132906.0,133358.0,2.0,20260204,akshare_em,,,,,,,,,,,
601699,潞安环能,13.97,10.0,煤炭开采,1,133909.0,133909.0,0.0,20260204,akshare_em,,,,,,,,,,,
2791,坚朗五金,25.7,10.017123222351074,装修建材,1,134354.0,134354.0,0.0,20260204,akshare_em,,,,,,,,,,,
688429,时创能源,18.54,20.0,光伏设备,1,134922.0,134922.0,0.0,20260204,akshare_em,,,,,,,,,,,
2129,TCL中环,10.57,9.989593505859377,光伏设备,1,135230.0,141254.0,1.0,20260204,akshare_em,,,,,,,,,,,
3038,鑫铂股份,17.96,9.981629371643066,工业金属,1,140648.0,140648.0,0.0,20260204,akshare_em,,,,,,,,,,,
605376,博迁新材,100.1,10.0,金属新材,1,143417.0,143417.0,0.0,20260204,akshare_em,,,,,,,,,,,
600759,洲际油气,4.91,10.089685440063477,油气开采,1,143447.0,144014.0,3.0,20260204,akshare_em,,,,,,,,,,,
983,山西焦煤,7.36,10.014947891235352,煤炭开采,1,143515.0,143515.0,0.0,20260204,akshare_em,,,,,,,,,,,
600546,山煤国际,11.67,9.990574836730955,煤炭开采,1,143600.0,143600.0,0.0,20260204,akshare_em,,,,,,,,,,,
600403,大有能源,7.36,10.014947891235352,煤炭开采,1,143615.0,143615.0,0.0,20260204,akshare_em,,,,,,,,,,,
